,uf,cnae_grupo,contagem,seq,flag,contagem_ttl,%,flag_rede
0,TO,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,554,1,0,5351,0.10353205008409642,1
1,TO,Restaurantes e outros serviços de alimentação e bebidas,491,2,0,5351,0.091758549803775,1
2,TO,"Comércio varejista de produtos alimentícios, bebidas e fumo",316,3,0,5351,0.05905438235843768,1
3,TO,Comércio varejista não-especializado,313,4,0,5351,0.05849373948794618,1
4,TO,Outras atividades de serviços pessoais,286,5,0,5351,0.05344795365352271,1
5,TO,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,228,6,0,5351,0.04260885815735377,1
6,TO,Atividades de organizações associativas não especificadas anteriormente,198,7,0,5351,0.0370024294524388,1
7,TO,Manutenção e reparação de veículos automotores,195,8,0,5351,0.0364417865819473,1
8,TO,Publicidade,155,9,0,5351,0.02896654830872734,1
9,TO,Outros serviços especializados para construção,135,10,0,5351,0.025228929172117363,1
10,TO,Outros,2480,11,0,5351,0.46346477293963745,1
11,SP,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,37038,1,0,380611,0.09731195367448654,1
12,SP,Restaurantes e outros serviços de alimentação e bebidas,32083,2,0,380611,0.08429341243421762,1
13,SP,Outras atividades de serviços pessoais,23416,3,0,380611,0.06152213152010846,1
14,SP,"Comércio varejista de produtos alimentícios, bebidas e fumo",18071,4,0,380611,0.047478922049021176,1
15,SP,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,12489,5,0,380611,0.03281302957612891,1
16,SP,Produção de lavouras temporárias,11380,6,0,380611,0.029899293504391623,1
17,SP,Pecuária,11202,7,0,380611,0.02943162441442838,1
18,SP,Comércio varejista não-especializado,10486,8,0,380611,0.027550438636823424,1
19,SP,Manutenção e reparação de veículos automotores,10460,9,0,380611,0.027482127421435534,1
20,SP,"Serviços de catering, bufê e outros serviços de comida preparada",10361,10,0,380611,0.027222019332073955,1
21,SP,Outros,203625,11,0,380611,0.5349950474368844,1
22,SE,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,891,1,0,6792,0.13118374558303886,1
23,SE,Restaurantes e outros serviços de alimentação e bebidas,541,2,0,6792,0.07965253239104829,1
24,SE,Outras atividades de serviços pessoais,435,3,0,6792,0.06404593639575971,1
25,SE,"Comércio varejista de produtos alimentícios, bebidas e fumo",333,4,0,6792,0.04902826855123675,1
26,SE,Comércio varejista não-especializado,321,5,0,6792,0.04726148409893993,1
27,SE,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",303,6,0,6792,0.0446113074204947,1
